Name,Role,Signature,Stealth,Assault,Tech,Resilience,Abilities
Specter,Stealth infiltrator,Adaptive camouflage and ghosting protocols,9,5,8,4,"EMP Burst,Neural Hack"
Juggernaut,Front-line tank,Exosuit plating with hydraulic melee amplifiers,4,9,5,8,"EMP Burst,Nanite Swarm"
Tracer,Hyper-mobile skirmisher,Reflex accelerators and kinetic boosters,7,8,5,6,"Overdrive,EMP Burst"
Synthmage,Battlefield control,Nanite constructs and viral warfare,5,4,9,7,"Neural Hack,Nanite Swarm"
Ronin,Cyber-samurai,Monofilament katana and subdermal armor,6,8,6,7,"Blade Fury,Focus"
Gunslinger,Dual-wielding marksman,Twin smart-pistols with ricochet targeting,5,9,7,5,"Trick Shot,Fan the Hammer"
Technomancer,Drone master,Combat and support drone swarm controller,4,5,10,6,"Drone Swarm,Repair Bot"
Revenant,Undying cyborg,Self-reviving chassis with a vendetta protocol,3,7,5,10,"Reconstruct,Vengeance"
Courier,Urban parkour expert,Enhanced mobility leg and arm prosthetics,8,6,7,5,"Wallrunner,Adrenaline Rush"
Fixer,Information broker,Social engineering implants and wide-band comms,7,4,9,6,"Blackout,Intel Leak"
Breacher,Demolitions expert,Explosive ordinance and reinforced cyber-limbs,4,9,6,8,"Thermite Charge,Concussive Blast"
Oracle,Data diviner,Predictive algorithm suite and pre-cog implants,6,4,10,5,"Precognition,Data Spike"
Gladiator,Arena champion,Chrome-infused muscle fibers and combat stimulants,3,10,4,9,"Berserk,Challenge"
Phantom,Untraceable agent,Holographic projectors and audio dampeners,10,5,7,4,"Decoy,Soundless"
